name,amenity,main_cuisine,lat,lon,has_outdoor_seating,has_wifi,is_wheelchair_accessible
Discoteca Olimpia,bar,unknown,40.4188918,-3.7086559,False,False,False
Wok King,restaurant,chinese,40.4195999,-3.7077336,False,False,False
Taberna de los Ángeles,restaurant,unknown,40.4186643,-3.7082433,False,False,False
Prep‘ la Crêpe,restaurant,crepes,40.4196449,-3.7070086,True,False,False
El Gaucho,restaurant,unknown,40.418183,-3.7031236,False,False,False
Vianvi,cafe,unknown,40.4185047,-3.7034827,False,False,False
Artemisa,restaurant,unknown,40.419207,-3.7029076,False,False,False
,bar,unknown,40.4191018,-3.7039069,False,False,False
Takos Al Pastor,restaurant,mexican,40.418948,-3.7037389,False,False,False
OVNI,cafe,unknown,40.4193676,-3.703326,False,False,False
Starbucks,cafe,coffee_shop,40.4202661,-3.7028563,False,False,False
Las Moreras,restaurant,steak_house,40.4472122,-3.5348108,False,False,False
Vivaz Retiro,cafe,unknown,40.4091725,-3.6785986,True,False,False
Taberna El Tentadero,restaurant,mediterranean,40.4295591,-3.6676282,False,False,False
Café del Río,restaurant,unknown,40.4169021,-3.7231961,False,False,False
Buffet Libre Gran Avenida,restaurant,unknown,40.4118237,-3.7504915,False,False,False
Restaurante Bagaray,restaurant,unknown,40.4087,-3.7639397,False,False,False
Casa Pepe,restaurant,castellana,40.4721299,-3.7130726,False,False,False
Pizzería Carlos,restaurant,pizza,40.4730749,-3.7148214,False,False,False
Nacional Retiro,cafe,fast_food,40.4163461,-3.6806984,True,False,False
Preity Raj,restaurant,unknown,40.4102862,-3.7008582,False,False,False
A Cañada,restaurant,regional,40.4109653,-3.7004479,False,False,False
Raja Mahal,restaurant,indian,40.4111374,-3.700326,False,False,False
Moharaj,restaurant,unknown,40.4110886,-3.700589,False,False,False
Nap,restaurant,pizza,40.4108202,-3.7005322,False,False,False
Bombay Palace,restaurant,unknown,40.4107264,-3.7008747,False,False,False
,restaurant,unknown,40.4093708,-3.7009194,False,False,False
El Despertar,cafe,unknown,40.4107804,-3.6994987,False,False,False
El Colmo,cafe,unknown,40.4115173,-3.6996972,False,False,False
O'Barquiño,restaurant,unknown,40.4114924,-3.6994308,False,False,False
La Temeraria,restaurant,italian,40.4117492,-3.700322,False,False,False
Taberna Garibaldi,restaurant,unknown,40.4116655,-3.700364,False,False,False
El Urogallo,restaurant,unknown,40.418829,-3.7347694,False,False,False
Café del Lago,restaurant,unknown,40.4176809,-3.7341078,True,False,True
Montaloya,restaurant,unknown,40.4192797,-3.7347037,False,False,False
,restaurant,unknown,40.4715257,-3.6699823,False,False,False
Ginos,restaurant,italian,40.455063,-3.6226906,False,False,False
Wok,restaurant,unknown,40.4550377,-3.622496,False,False,False
Vips,restaurant,international,40.4549871,-3.6222587,False,False,False
Como Como Slow Food,restaurant,international,40.4367886,-3.6226101,False,False,False
,restaurant,unknown,40.4132592,-3.6692802,False,False,False
Restaurante Pico Pico,restaurant,unknown,40.445038,-3.6411778,False,False,False
Asador Rías Bajas,restaurant,unknown,40.4445989,-3.6403865,False,False,True
El Racó,restaurant,unknown,40.4424437,-3.6384083,False,False,False
Happiness,restaurant,unknown,40.4423564,-3.6383442,False,False,False
Chutoro Madrid,restaurant,unknown,40.4704992,-3.5803968,False,False,False
La Plaza,restaurant,unknown,40.4739074,-3.5771263,False,False,False
Miravalles,restaurant,seafood,40.4710865,-3.5798455,False,False,False
Al Tran Tran,restaurant,unknown,40.4724032,-3.5820736,False,False,False
Jota Cinco,restaurant,unknown,40.4382334,-3.6373154,False,False,False
Mamma Juana,restaurant,unknown,40.438217,-3.6373926,False,False,False
Grant's,restaurant,unknown,40.4397488,-3.6364268,False,False,False
Go,restaurant,asian,40.4375703,-3.6370092,False,False,False
Matsuri,restaurant,asian,40.443889,-3.6345377,False,False,False
Unus,restaurant,unknown,40.4439935,-3.6344424,False,False,False
Carlos,restaurant,unknown,40.4440493,-3.6343156,False,False,False
El Ratito,restaurant,unknown,40.4441386,-3.6341149,False,False,False
Eu Mundo,restaurant,unknown,40.4445466,-3.6346069,False,False,False
Casa Tampico,restaurant,unknown,40.4448785,-3.635335,False,False,False
La Masía de José Luis,restaurant,regional,40.4150363,-3.7312117,False,False,False
Madre Mía - Restaurante,restaurant,unknown,40.4144127,-3.7326293,False,False,False
La Montaña,restaurant,unknown,40.5187667,-3.7754372,False,False,False
Mesón del Pardo,restaurant,unknown,40.5194084,-3.7767025,False,False,False
Canalla Tacos y Tragos,restaurant,unknown,40.5059026,-3.6757441,False,False,False
Alfredo's Barbacoa,restaurant,burger,40.4605707,-3.6872821,False,False,False
,restaurant,unknown,40.5060565,-3.6676655,False,False,False
Petiscos Galegos,restaurant,galician,40.4740954,-3.7054024,False,False,False
Vips,restaurant,international,40.479773,-3.7085001,False,False,False
TGI Fridays,restaurant,american,40.4793935,-3.7083499,False,False,False
La Nicoletta,restaurant,italian,40.5090251,-3.6675001,False,False,False
Kobe,restaurant,unknown,40.5100394,-3.6673737,False,False,False
Taberna La Bonica,restaurant,unknown,40.5081627,-3.6709914,False,False,False
Go! Sushing,restaurant,sushi,40.4033042,-3.7081487,False,False,False
El Buo,bar,unknown,40.4231951,-3.6982486,False,False,False
La Gamella,restaurant,unknown,40.4189239,-3.6890563,False,False,False
Cantina,restaurant,unknown,40.4936118,-3.6554348,False,False,False
El Rincón de las Tablas,restaurant,unknown,40.4958129,-3.6755645,False,False,False
Bar-Restaurante La Parada,restaurant,unknown,40.4512504,-3.5813898,False,False,False
Bar los Arcos,restaurant,unknown,40.4512553,-3.5815503,False,False,False
El Rosario,restaurant,unknown,40.4829998,-3.6940691,False,False,False
El Escondite Jamonal,restaurant,unknown,40.4833027,-3.6958009,False,False,False
El Oso,restaurant,unknown,40.5059739,-3.6572587,False,False,False
Ôven,restaurant,unknown,40.5045383,-3.6748903,False,False,False
La Lola,restaurant,unknown,40.5059631,-3.6746957,False,False,False
El Jardín de La Máquina,restaurant,unknown,40.4658981,-3.8079599,False,False,False
El Barracón,restaurant,unknown,40.504532,-3.6855922,False,False,False
Vips,restaurant,international,40.4968493,-3.6665137,False,False,False
Ginos,restaurant,italian,40.4969066,-3.6663936,False,False,False
Jazmín,cafe,unknown,40.4807413,-3.6652111,False,False,False
Cafetería Globcafé,restaurant,unknown,40.4828907,-3.667816,False,False,False
La Fragua Del Pinar,restaurant,regional,40.4825647,-3.6705259,False,False,False
Ni Hao,restaurant,chinese,40.4817015,-3.6659151,False,False,False
La Tagliatella,restaurant,unknown,40.4862506,-3.6655135,False,False,False
La Castafiore,restaurant,unknown,40.4230858,-3.6935468,False,False,False
Finca Lucero Celebraciones,restaurant,unknown,40.4708871,-3.583035,False,False,False
Finca Lucero,restaurant,italian,40.4705945,-3.582929,False,False,False
El Porche,restaurant,unknown,40.4708744,-3.5826133,False,False,False
,restaurant,unknown,40.4491917,-3.7257903,False,False,True
Can Punyetes,restaurant,unknown,40.4159664,-3.710711,False,False,False
The Chatter Café,cafe,unknown,40.5082246,-3.6711726,False,False,False
El Ancla del Lago,restaurant,unknown,40.4204987,-3.7329662,False,False,False
Kiosco,bar,unknown,40.3835903,-3.7198474,False,False,False
Torres,cafe,unknown,40.442532,-3.6517071,False,False,False
Bar Restaurante El Paleto,restaurant,spanish,40.4164723,-3.6717472,False,False,False
Magaly,restaurant,unknown,40.4411054,-3.6564894,False,False,False
La Lupa,restaurant,unknown,40.4415091,-3.663289,False,False,False
Palacio de la Misión,restaurant,regional,40.4139531,-3.7324062,False,False,False
Magadán,cafe,unknown,40.4292399,-3.7224188,False,False,False
Kiosko Las Estatuas,cafe,unknown,40.4167283,-3.6849446,False,False,False
Mirador,cafe,unknown,40.41484,-3.6826353,False,False,True
Cervecería Sapama,bar,unknown,40.4406907,-3.6424732,False,False,False
QOF,bar,unknown,40.4395443,-3.6426533,False,False,False
Miguelón,restaurant,peruvian,40.4366702,-3.6419218,False,False,False
La Guajira Puga,bar,unknown,40.4367695,-3.6437704,False,False,False
Los Parros,restaurant,unknown,40.4366606,-3.6436812,False,False,False
El Rincón de E&C,restaurant,unknown,40.4377156,-3.6444047,False,False,False
d'casa,restaurant,unknown,40.4410967,-3.6440189,False,False,False
,bar,unknown,40.43777,-3.6394243,False,False,False
Bus,bar,unknown,40.4378423,-3.6394847,False,False,False
La Marina,bar,unknown,40.4379561,-3.6395911,False,False,False
Altagracia,bar,unknown,40.4379692,-3.6401759,False,False,False
Sake Dining Himawari,restaurant,japanese,40.4226068,-3.6932565,False,False,False
Vips Beatriz,restaurant,international,40.4304667,-3.6834992,False,False,False
San Francisco,restaurant,unknown,40.5197744,-3.7814011,False,False,False
Carbón,restaurant,spanish,40.4327522,-3.6781495,False,False,False
Cafetería Bruselas,cafe,unknown,40.4377269,-3.6635351,False,False,False
Casa Nemesio,restaurant,unknown,40.4722751,-3.6870224,False,False,False
El Gato,restaurant,unknown,40.438892,-3.6632499,False,False,False
El olvido,restaurant,unknown,40.4605477,-3.6868119,False,False,False
,restaurant,unknown,40.4724679,-3.6530156,False,False,False
Mawey,restaurant,mexican,40.4317789,-3.702372,False,False,False
Vips,restaurant,international,40.4908438,-3.7225282,False,False,False
,restaurant,unknown,40.4118678,-3.66789,False,False,False
Casa Patas,restaurant,spanish,40.4127198,-3.7017271,False,False,False
El Ninot,restaurant,unknown,40.5050964,-3.6858483,False,False,False
Casa de Córdoba,restaurant,regional,40.4551315,-3.6705485,False,False,False
Masa Naomi,restaurant,japanese,40.4526218,-3.7006244,False,False,False
La Favorita,restaurant,unknown,40.4305985,-3.6981347,False,False,False
La Cabrera Madrid,restaurant,argentinian,40.4293124,-3.6841177,False,False,True
La NiÑata cervecería,restaurant,unknown,40.5091941,-3.6927889,False,False,False
Maza,bar,unknown,40.5044943,-3.7034424,False,False,False
El Peregrino,restaurant,galician,40.5043246,-3.7069933,False,False,False
Restaurante Kibanda,restaurant,unknown,40.4070165,-3.7637547,False,False,False
Kiosco Congosto,bar,unknown,40.371244,-3.6177655,False,False,False
Asador Lekeitio,restaurant,regional,40.4548553,-3.67212,False,False,False
Mayte Commodore,restaurant,unknown,40.4457819,-3.6855307,False,False,False
Royal Thai,restaurant,thai,40.5113157,-3.6711103,False,False,False
Ninja Ramen,restaurant,japanese,40.4264788,-3.70103,False,False,False
Beytna,restaurant,unknown,40.456894,-3.6483454,False,False,False
Terraza Nordeste,bar,unknown,40.4622677,-3.6349813,False,False,False
Arrocería Balear,restaurant,regional,40.4448292,-3.7868926,False,False,False
El Patio de Atocha,restaurant,regional,40.4129861,-3.7010604,False,False,True
Restaurante Bienmesabe,restaurant,rice_and_fish,40.4642008,-3.6850825,False,False,False
Madrid Río Café Toledo,cafe,unknown,40.3994011,-3.7170822,False,False,False
Frutal,cafe,unknown,40.4133319,-3.6968531,False,False,False
Perla del Pacífico,restaurant,unknown,40.395899,-3.6687516,False,False,False
Facultad de Forestales,cafe,yes,40.4482368,-3.7238292,False,False,False
Ito Ita,bar,unknown,40.4677937,-3.7948595,False,False,False
Casino Mingorrubio,bar,unknown,40.5335808,-3.7799734,False,False,False
,restaurant,unknown,40.5333024,-3.7799863,True,False,False
Ría del Sella,restaurant,unknown,40.4791886,-3.5813703,False,False,False
Café El Espejo,restaurant,unknown,40.4239405,-3.691344,False,False,False
Santa Marta,cafe,unknown,40.3636967,-3.7735891,False,False,False
,cafe,unknown,40.3990487,-3.7045683,False,False,False
,cafe,unknown,40.3989121,-3.70439,False,False,False
El Bund,restaurant,chinese,40.4567024,-3.6584638,False,False,False
